1000	56518.0000	1.8479	1.6330
3000	56498.0000	3.3313	2.9439
5000	56489.6667	5.8678	5.1854
7000	56495.6667	4.7413	4.1899
9000	56498.0000	4.2341	3.7417
11000	56516.6667	1.9234	1.6997
13000	56548.0000	6.9757	6.1644
15000	56588.3333	3.8467	3.3993
17000	56712.3333	6.1520	5.4365
19000	57073.3333	5.4138	4.7842
21000	63512.3333	21.7930	19.2585
23000	72834.3333	20.2709	17.9134
25000	81670.3333	55.6011	49.1347
27000	90828.0000	0.0000	0.0000
29000	100716.0000	223.1346	161.0000
31000	115523.5000	14.5523	10.5000
33000	141928.0000	0.0000	0.0000
35000	195425.0000	96.1311	84.9510
37000	331890.3333	504.6046	445.9188
39000	1959793.0000	14038.2406	12405.5847
