1000	155516.0000	54.9810	48.5867
3000	204609.0000	573.8841	507.1410
5000	235730.0000	148.7651	131.4636
7000	281189.0000	313.6993	277.2159
9000	319132.0000	337.2504	298.0280
11000	378700.3333	570.6278	504.2634
13000	433410.3333	226.5293	200.1838
15000	536592.6667	190.2184	168.0959
17000	653859.0000	523.4859	462.6042
19000	801745.3333	811.3234	716.9660
21000	1094557.0000	480.5221	424.6371
23000	1734313.3333	1462.5159	1292.4244
25000	4164245.0000	7569.7290	6689.3649
27000	19577071.0000	29582.5755	26142.1040
29000	1069886437.3333	1512809.2032	1336868.5725
