1000	135462.0000	204.6822	180.8775
3000	153604.6667	26.4955	23.4141
5000	180989.0000	230.7719	203.9330
7000	205961.6667	68.9032	60.8897
9000	234429.6667	151.1908	133.6072
11000	270302.3333	123.5796	109.2072
13000	314021.6667	55.7927	49.3040
15000	373892.0000	97.6991	86.3366
17000	451181.6667	37.4438	33.0891
19000	563882.3333	200.2578	176.9677
21000	771461.0000	359.8117	317.9654
23000	1141188.3333	1057.5597	934.5649
25000	2383258.3333	792.6553	700.4690
27000	17511408.0000	37676.8580	33295.0165
29000	1058839893.6667	1560262.3830	1378802.9186
