1000	156924.3333	127.2318	112.4347
3000	205906.3333	219.6412	194.0968
5000	238077.3333	742.8956	656.4964
7000	283826.3333	341.6194	301.8889
9000	320702.3333	333.9375	295.1004
11000	381186.0000	345.6176	305.4221
13000	437010.6667	319.7255	282.5412
15000	541531.0000	510.8708	451.4562
17000	660697.3333	189.4539	167.4203
19000	811005.6667	498.9357	440.9092
21000	1113188.3333	1969.1806	1740.1637
23000	1775727.3333	1749.4862	1546.0199
25000	4402423.6667	33875.1737	29935.4704
27000	42359317.3333	789838.1807	697979.5198
29000	1131550056.0000	7083890.8467	6260030.0315
