1000	136660.0000	214.8742	189.8842
3000	154869.6667	14.3238	12.6579
5000	182596.0000	310.0863	274.0231
7000	207497.0000	226.8262	200.4462
9000	236195.0000	68.4786	60.5145
11000	272640.0000	51.9636	45.9202
13000	316810.0000	217.4805	192.1874
15000	377143.6667	280.6633	248.0220
17000	455680.3333	441.6942	390.3249
19000	570291.3333	73.8026	65.2193
21000	782508.3333	596.5791	527.1966
23000	1166389.0000	1269.8686	1122.1821
25000	2498839.0000	4335.1588	3830.9772
27000	39972901.0000	800439.3630	707347.7781
29000	1122292260.6667	7071458.5449	6249043.6140
