1000	113846.3333	294.8848	260.5895
3000	147396.0000	40.3905	35.6931
5000	153594.3333	47.8883	42.3189
7000	157504.0000	133.0492	96.0000
9000	178199.0000	177.3989	128.0000
11000	192662.6667	144.2354	127.4607
13000	209067.3333	119.7663	105.8374
15000	219426.3333	100.5808	88.8832
17000	235830.3333	56.5073	49.9355
19000	255088.6667	55.8769	49.3784
21000	277788.6667	20.5012	18.1169
23000	296942.3333	206.0588	182.0940
25000	319816.6667	48.0840	42.4918
27000	347510.6667	524.1854	463.2223
29000	384803.6667	6238.5511	5513.0038
31000	421767.0000	177.1389	156.5375
33000	465591.0000	417.6420	369.0700
35000	528723.0000	319.0769	281.9681
37000	601948.6667	706.8917	624.6798
39000	698808.6667	726.1508	641.6990
41000	799650.0000	822.4628	726.8099
43000	970819.0000	654.1606	578.0813
45000	1236654.0000	2381.0606	2104.1418
47000	1591307.0000	1171.8924	1035.6006
49000	2456878.6667	4363.2017	3855.7587
51000	5129517.6667	13650.3299	12062.7882
