1000	134340.0000	127.9500	113.0693
3000	152505.3333	59.0920	52.2196
5000	179328.0000	84.7169	74.8643
7000	204251.3333	6.1520	5.4365
9000	232094.0000	85.4494	75.5116
11000	267971.0000	85.9773	75.9781
13000	310770.3333	79.0741	69.8777
15000	369392.3333	52.5626	46.4495
17000	445118.6667	111.7996	98.7972
19000	555085.6667	192.6532	170.2475
21000	753755.0000	508.6047	449.4537
23000	1105035.3333	970.2440	857.4040
25000	2216965.6667	5285.7025	4670.9721
27000	14608956.6667	190777.5462	168590.0015
29000	980086416.3333	1855699.7984	1639880.7829
