1000	154451.0000	175.1202	154.7536
3000	203461.3333	432.7429	382.4146
5000	234819.0000	890.6489	787.0659
7000	279308.3333	160.9120	142.1978
9000	317143.3333	299.7516	264.8903
11000	374250.3333	164.6772	145.5251
13000	429385.3333	101.3502	89.5631
15000	529824.0000	152.1944	134.4941
17000	644964.6667	209.9963	185.5736
19000	788282.6667	271.9019	240.2795
21000	1068340.0000	167.2099	147.7633
23000	1671797.6667	16457.6262	14543.5943
25000	3829195.3333	8581.3523	7583.3358
27000	16966686.6667	193415.8937	170921.5076
29000	989329971.6667	2065838.1495	1825579.9159
